vehiculo,anio,estado,promedio_calificacion,n_resenas
Porsche 911 Targa 4S,2018,Usado,3.73,683
Porsche Macan S,2016,Usado,3.73,529
Tesla Model S Performance,2014,Usado,3.73,588
Tesla Model 3 Long Range,2019,Usado,3.73,597
Acura MDX 3.5L w/Technology Package,2017,Usado,3.72,588
Acura MDX A-Spec,2023,Nuevo,3.72,296
BMW X7 xDrive40i,2023,Nuevo,3.72,539
Chevrolet Tahoe Z71,2022,Nuevo,3.72,178
Dodge Charger GT,2023,Nuevo,3.72,285
Dodge Durango GT,2022,Nuevo,3.72,397
Ford Expedition Timberline,2023,Nuevo,3.72,258
Hyundai Palisade SEL,2021,Usado,3.72,150
Hyundai Sonata Limited,2022,Usado,3.72,277
INFINITI QX60 Base,2018,Usado,3.72,529
INFINITI QX50 Luxe,2023,Nuevo,3.72,397
Lexus RC F Base,2020,Usado,3.72,755
Lexus LX 470 ,2002,Usado,3.72,697
Mercedes-Benz GLE 450 AWD 4MATIC,2023,Nuevo,3.72,648
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,3.72,569
Mercedes-Benz AMG GLE 63 S,2023,Nuevo,3.72,568
Porsche Macan S,2019,Usado,3.72,358
Porsche Taycan Base,2022,Usado,3.72,691
Porsche Macan Base,2020,Usado,3.72,598
Tesla Model X Plaid,2022,Usado,3.72,707
Tesla Model S 70D,2016,Usado,3.72,433
Acura TLX A-Spec,2023,Nuevo,3.71,567
BMW 840 Gran Coupe i xDrive,2022,BMW Certified,3.71,464
BMW 530 i xDrive,2022,Nuevo,3.71,233
Chevrolet Silverado 1500 LT,2017,Usado,3.71,756
Dodge Challenger SXT,2018,Usado,3.71,691
Ford Bronco Base/Big Bend,2023,Nuevo,3.71,793
Hyundai Santa Cruz 2.5L SEL,2022,Usado,3.71,711
Hyundai Palisade SEL,2020,Usado,3.71,425
Hyundai Veloster Turbo Ultimate,2019,Usado,3.71,709
Hyundai Palisade SEL,2020,Usado,3.71,160
INFINITI QX56 Base,2012,Usado,3.71,134
INFINITI QX50 Journey,2015,Usado,3.71,512
INFINITI Q60 3.0t Red Sport 400,2021,INFINITI Certified,3.71,66
INFINITI QX50 Base,2017,Usado,3.71,232
Lexus RX 350L Premium,2019,Usado,3.71,73
Mercedes-Benz S-Class S 580 4MATIC,2022,Nuevo,3.71,322
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,3.71,743
Porsche Boxster Spyder,2016,Porsche Certified,3.71,783
Porsche Boxster Base,2013,Usado,3.71,118
Tesla Model X Standard Range,2019,Usado,3.71,513
Tesla Model S Base,2022,Usado,3.71,649
Tesla Model 3 Long Range,2020,Usado,3.71,697
BMW i3 120Ah w/Range Extender,2019,Usado,3.7,607
BMW X5 M Base,2015,Usado,3.7,153
Chevrolet Silverado 2500 WT,2023,Nuevo,3.7,229
Chevrolet Silverado 2500 LTZ,2011,Usado,3.7,51
Chevrolet Equinox RS,2022,Nuevo,3.7,193
Chevrolet Traverse LT Leather,2018,Usado,3.7,740
Dodge Durango SXT,2020,Usado,3.7,571
Dodge Charger R/T,2023,Nuevo,3.7,171
Ford Expedition EL King Ranch,2014,Usado,3.7,671
Hyundai Elantra SEL,2023,Nuevo,3.7,654
INFINITI Q50 SENSORY,2023,Nuevo,3.7,714
Lexus GX 460 Base,2019,Usado,3.7,315
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.7,375
Mercedes-Benz AMG E 53 Base 4MATIC,2023,Nuevo,3.7,457
Porsche 718 Cayman GTS,2019,Porsche Certified,3.7,154
Porsche 718 Cayman GTS 4.0,2021,Usado,3.7,709
Porsche Macan Base,2021,Usado,3.7,369
Porsche 911 Carrera 4S,2020,Usado,3.7,306
Porsche Boxster ,2000,Usado,3.7,381
Porsche Macan Base,2017,Usado,3.7,615
Tesla Model 3 Long Range,2019,Usado,3.7,699
Tesla Model 3 Long Range,2020,Usado,3.7,681
Acura MDX Type S w/Advance Package,2023,Nuevo,3.69,202
Acura TLX FWD,2020,Usado,3.69,644
Acura Integra w/A-Spec Package,2023,Nuevo,3.69,385
Acura MDX 3.5L w/Technology Package,2018,Usado,3.69,680
Chevrolet Malibu 2LT,2023,Nuevo,3.69,429
Dodge Charger GT,2023,Nuevo,3.69,361
Dodge Durango SXT,2019,Usado,3.69,112
Hyundai Santa Fe SEL,2023,Nuevo,3.69,458
INFINITI QX60 Pure,2020,Usado,3.69,289
INFINITI Q50 3.0t LUXE,2020,Usado,3.69,310
INFINITI G37 Journey,2011,Usado,3.69,372
INFINITI QX50 Pure,2019,Usado,3.69,37
Lexus GX 460 GX 460 Premium,2023,Nuevo,3.69,270
Lexus RX 450h ,2010,Usado,3.69,421
Lexus RX 500h F SPORT PERFORMANCE,2023,Nuevo,3.69,342
Mercedes-Benz AMG E 53 Base 4MATIC,2023,Nuevo,3.69,539
Mercedes-Benz GLC 300 Base,2021,Nuevo,3.69,156
Porsche Macan Base,2019,Usado,3.69,487
Porsche Macan ,2018,Usado,3.69,787
Porsche 911 Carrera S,2022,Usado,3.69,415
Tesla Model X Base,2022,Usado,3.69,619
Tesla Model 3 Long Range,2018,Usado,3.69,292
Acura TLX V6 A-Spec,2018,Usado,3.68,648
Acura RDX Technology Package,2022,Nuevo,3.68,636
BMW M4 Base,2020,Usado,3.68,148
BMW M340 i,2020,Usado,3.68,293
BMW M440 i xDrive,2021,Usado,3.68,608
BMW X6 sDrive40i,2021,Usado,3.68,578
Dodge Charger GT,2018,Usado,3.68,791
Hyundai Tucson Hybrid SEL Convenience,2023,Nuevo,3.68,694
Hyundai Palisade SEL,2023,Nuevo,3.68,291
INFINITI QX56 Base,2013,Usado,3.68,263
INFINITI QX55 LUXE,2023,Nuevo,3.68,623
INFINITI Q50 LUXE,2023,Nuevo,3.68,20
Lexus ES 350 ES 350,2019,Usado,3.68,309
Mercedes-Benz GLC 300 Base 4MATIC,2022,Nuevo,3.68,149
Mercedes-Benz E-Class E 450,2023,Nuevo,3.68,604
Mercedes-Benz Sprinter 2500 144 WB,2022,Usado,3.68,379
Mercedes-Benz GLC 300 Base,2021,Nuevo,3.68,743
Mercedes-Benz AMG SL 63 SL 63 AMG 4MATIC,2022,Nuevo,3.68,375
Porsche Cayenne Platinum Edition,2023,Nuevo,3.68,624
Porsche Panamera 4,2015,Usado,3.68,598
Porsche 911 Carrera Cabriolet,2002,Usado,3.68,783
Porsche 911 Turbo,2007,Usado,3.68,462
Porsche Macan ,2023,Nuevo,3.68,187
Acura MDX 3.5L,2016,Usado,3.67,231
Acura RDX Technology Package,2016,Usado,3.67,22
BMW 750 i xDrive,2020,Usado,3.67,361
Chevrolet Suburban LS,2023,Nuevo,3.67,385
Chevrolet Bolt EV 2LT,2023,Nuevo,3.67,591
Chevrolet Tahoe High Country,2023,Nuevo,3.67,779
Chevrolet Tahoe Premier,2023,Nuevo,3.67,796
Dodge Charger R/T,2022,Nuevo,3.67,735
Dodge Durango R/T,2023,Nuevo,3.67,374
Ford Explorer ST,2022,Nuevo,3.67,483
Hyundai Palisade SEL,2020,Usado,3.67,7
Hyundai Elantra HEV Limited,2023,Nuevo,3.67,455
INFINITI Q50 3.0t SENSORY,2021,INFINITI Certified,3.67,665
Lexus RX 350 ,2008,Usado,3.67,21
Lexus RX 500h F SPORT PERFORMANCE,2023,Nuevo,3.67,77
Lexus GX 460 Luxury,2019,Usado,3.67,183
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.67,423
Porsche Cayman Base,2014,Usado,3.67,780
Porsche Cayenne Base,2016,Usado,3.67,675
Porsche Macan GTS,2017,Usado,3.67,527
Porsche Macan Sport Edition,2018,Usado,3.67,353
Porsche Cayenne Base,2021,Usado,3.67,447
Tesla Model S Base,2014,Usado,3.67,428
Acura Integra A-Spec,2023,Nuevo,3.66,591
Acura RDX A-Spec,2023,Nuevo,3.66,564
Acura RDX Advance Package,2020,Usado,3.66,721
BMW X5 sDrive35i,2018,Usado,3.66,654
Dodge Charger SRT8,2006,Usado,3.66,429
Dodge Durango SXT,2015,Usado,3.66,479
Ford Bronco Wildtrak,2023,Nuevo,3.66,390
Ford F-350 XL,2022,Nuevo,3.66,547
Ford Expedition XLT,2023,Nuevo,3.66,224
INFINITI QX80 Base,2016,Usado,3.66,722
INFINITI QX50 Luxe,2023,Nuevo,3.66,586
Lexus GX 460 Base,2022,Usado,3.66,283
Lexus RX 350 Base,2020,Usado,3.66,551
Mercedes-Benz AMG GT 53 Base,2022,Nuevo,3.66,420
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.66,714
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.66,663
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,3.66,515
Porsche Taycan 4S,2021,Usado,3.66,739
Porsche Boxster Base,2002,Usado,3.66,92
Tesla Model X Performance,2019,Usado,3.66,138
Tesla Model S Long Range,2021,Usado,3.66,448
Acura TLX V6 A-Spec,2018,Usado,3.65,619
BMW 330 Gran Turismo i xDrive,2017,Usado,3.65,340
BMW X6 xDrive35i,2017,Usado,3.65,472
BMW 530e 530e,2023,Nuevo,3.65,370
BMW 750 Li,2009,Usado,3.65,332
Chevrolet Colorado LT,2021,Nuevo,3.65,668
Dodge Challenger R/T,2016,Usado,3.65,724
Dodge Ram 1500 ST,2005,Usado,3.65,86
Dodge Challenger R/T,2022,Nuevo,3.65,668
Hyundai IONIQ 5 SEL,2023,Nuevo,3.65,419
INFINITI Q50 LUXE,2023,Nuevo,3.65,528
Lexus ES 350 Luxury,2023,Nuevo,3.65,157
Lexus GX 460 Base,2020,Usado,3.65,455
Lexus GX 460 Base,2019,Usado,3.65,511
Mercedes-Benz GLC 300 4MATIC Coupe,2023,Nuevo,3.65,754
Mercedes-Benz EQS 580 Base 4MATIC,2023,Nuevo,3.65,600
Porsche Macan S,2020,Usado,3.65,287
Porsche 718 Cayman GTS 4.0,2021,Usado,3.65,215
Tesla Model Y Long Range,2021,Usado,3.65,396
BMW M550 i xDrive,2021,BMW Certified,3.64,109
BMW 230 i xDrive,2017,Usado,3.64,690
Chevrolet Blazer 2LT,2023,Nuevo,3.64,566
Chevrolet Colorado LT,2022,Nuevo,3.64,570
Dodge Charger SXT,2022,Nuevo,3.64,56
Dodge Challenger GT,2020,Usado,3.64,740
Ford Expedition EL Limited,2016,Usado,3.64,34
Hyundai Sonata Hybrid Blue,2021,Usado,3.64,263
Hyundai Elantra GT Base,2016,Usado,3.64,757
INFINITI QX80 Signature Edition,2017,Usado,3.64,647
INFINITI Q50 Premium,2014,Usado,3.64,217
INFINITI QX80 Base,2015,Usado,3.64,288
INFINITI QX50 ESSENTIAL,2021,INFINITI Certified,3.64,538
INFINITI QX60 Luxe,2023,Nuevo,3.64,499
Lexus IS 300 Base,2023,Nuevo,3.64,717
Lexus NX 300 NX 300,2020,Usado,3.64,267
Lexus ES 350 ,2019,Usado,3.64,380
Mercedes-Benz GLC 300 Base,2022,Nuevo,3.64,569
Mercedes-Benz GLE 450 AWD 4MATIC,2022,Nuevo,3.64,208
Mercedes-Benz GLC 300 4MATIC Coupe,2023,Nuevo,3.64,594
Porsche Cayman Base,2015,Usado,3.64,735
Porsche Panamera E-Hybrid Turbo S,2018,Usado,3.64,592
Porsche Macan S,2017,Usado,3.64,380
Porsche Macan Turbo,2017,Usado,3.64,60
Porsche Macan S,2017,Usado,3.64,74
Acura Integra w/A-Spec Tech Package,2023,Nuevo,3.63,772
BMW M550 i xDrive,2023,Nuevo,3.63,199
BMW 740 i,2022,Usado,3.63,572
Chevrolet Silverado 1500 ZR2,2023,Nuevo,3.63,206
Chevrolet Malibu LT,2023,Nuevo,3.63,29
Dodge Charger R/T,2022,Nuevo,3.63,794
INFINITI QX60 Luxe,2020,Usado,3.63,249
Lexus NX 250 Base,2022,Usado,3.63,92
Lexus GS 350 GS 350 F Sport,2018,Usado,3.63,787
Lexus UX 250h F SPORT Handling,2023,Nuevo,3.63,485
Lexus ES 350 Base,2021,Usado,3.63,466
Lexus NX 300 F Sport,2020,Usado,3.63,793
Mercedes-Benz GLS 450 4MATIC,2023,Nuevo,3.63,539
Porsche Panamera S,2010,Usado,3.63,639
Porsche 911 Carrera Cabriolet,2004,Usado,3.63,660
Acura RDX Technology Package,2021,Usado,3.62,74
BMW i4 Gran Coupe M50,2023,Nuevo,3.62,75
BMW 328 i,2011,Usado,3.62,645
BMW 320 i,2014,Usado,3.62,390
Chevrolet Silverado 1500 LTZ,2022,Nuevo,3.62,313
Dodge Journey SE,2019,Usado,3.62,506
Dodge Challenger SXT,2013,Usado,3.62,549
Ford Shelby GT500 Base,2010,Usado,3.62,118
Hyundai IONIQ 5 SEL,2023,Nuevo,3.62,584
INFINITI QX55 LUXE,2023,Nuevo,3.62,794
INFINITI QX30 ESSENTIAL,2018,INFINITI Certified,3.62,305
Lexus GX 460 Luxury,2023,Nuevo,3.62,559
Lexus ES 300h Premium,2019,Usado,3.62,72
Lexus ES 350 Base,2021,Nuevo,3.62,612
Lexus RC 350 F Sport,2022,Nuevo,3.62,495
Lexus IS 250 ,2010,Usado,3.62,770
Lexus NX 350 Luxury,2023,Nuevo,3.62,59
Lexus RX 350 350,2015,Usado,3.62,751
Mercedes-Benz C-Class C 300 4MATIC,2023,Nuevo,3.62,755
Mercedes-Benz GLC 300 Base,2022,Nuevo,3.62,295
Tesla Model Y Long Range,2021,Usado,3.62,656
Acura TLX Technology,2021,Usado,3.61,714
Acura TL ,2006,Usado,3.61,632
Acura MDX Technology,2023,Nuevo,3.61,244
Acura RDX Base,2020,Usado,3.61,562
Acura MDX Technology,2023,Nuevo,3.61,134
BMW 540 i,2021,Usado,3.61,522
BMW 535 i xDrive,2013,Usado,3.61,617
BMW 650 Gran Coupe i xDrive,2014,Usado,3.61,205
BMW X6 sDrive40i,2021,Usado,3.61,409
BMW X2 M35i,2019,Usado,3.61,445
Chevrolet Camaro 2SS,2023,Nuevo,3.61,303
Chevrolet Silverado 2500 LT H/D Crew Cab,2008,Usado,3.61,565
Chevrolet 2500 ,1998,Usado,3.61,337
Ford Explorer ST,2023,Nuevo,3.61,403
Ford Bronco Big Bend,2023,Nuevo,3.61,338
Ford Explorer XLT,2022,Nuevo,3.61,463
Hyundai Sonata Limited,2016,Usado,3.61,491
INFINITI QX55 LUXE,2023,Nuevo,3.61,177
Lexus IS 300 Base,2021,Usado,3.61,374
Lexus UX 250h Premium,2023,Nuevo,3.61,547
Lexus NX 350 F SPORT Handling,2023,Nuevo,3.61,622
Lexus GX 460 Luxury,2022,Usado,3.61,370
Mercedes-Benz Sprinter 3500XD High Roof,2022,Nuevo,3.61,553
Mercedes-Benz AMG GT 53 Base,2022,Nuevo,3.61,145
Tesla Model 3 Standard Range Plus,2021,Usado,3.61,538
Acura Integra w/A-Spec Package,2023,Nuevo,3.6,102
Acura TLX w/Advance Package,2021,Acura Certified,3.6,311
BMW M235 Gran Coupe i xDrive,2021,Usado,3.6,543
BMW 430 i,2023,Nuevo,3.6,488
Chevrolet Silverado 3500 LTZ,2022,Nuevo,3.6,767
Chevrolet Malibu 1LT,2010,Usado,3.6,46
Chevrolet Corvette Stingray w/2LT,2023,Nuevo,3.6,743
Chevrolet Silverado 1500 LT,2020,Usado,3.6,90
Chevrolet Tahoe LT,2023,Nuevo,3.6,313
Chevrolet Colorado Z71,2022,Usado,3.6,370
Chevrolet Trax LT,2022,Nuevo,3.6,50
Hyundai Kona SEL,2023,Nuevo,3.6,466
Hyundai Kona EV Limited,2023,Nuevo,3.6,169
INFINITI Q70L 3.7X LUXE,2018,Usado,3.6,796
INFINITI QX60 SENSORY,2023,Nuevo,3.6,703
INFINITI QX80 Base,2015,Usado,3.6,727
Lexus LC 500 Base,2023,Nuevo,3.6,459
Lexus RC 350 F Sport,2022,Nuevo,3.6,252
Lexus ES 350 350,2015,Usado,3.6,469
Porsche 718 Cayman T,2021,Usado,3.6,677
Tesla Model S 90D,2016,Usado,3.6,60
Tesla Model 3 Standard Range Plus,2021,Usado,3.6,732
Tesla Model 3 Performance,2022,Usado,3.6,434
Acura MDX A-Spec,2023,Nuevo,3.59,700
Acura TLX A-Spec,2023,Nuevo,3.59,501
BMW X3 sDrive28i,2017,Usado,3.59,719
Chevrolet Trailblazer LT,2023,Nuevo,3.59,402
Chevrolet Tahoe RST,2023,Nuevo,3.59,359
Chevrolet Camaro 1SS,2023,Nuevo,3.59,68
INFINITI QX60 Luxe,2019,Usado,3.59,25
Lexus RX 400h ,2006,Usado,3.59,24
Lexus IS 300 Base,2021,Usado,3.59,38
Lexus ES 350 F Sport,2019,Usado,3.59,15
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,3.59,194
Mercedes-Benz Sprinter 2500 High Roof,2023,Nuevo,3.59,587
Porsche Panamera GTS,2019,Usado,3.59,332
Porsche 911 Carrera,2022,Usado,3.59,723
Chevrolet Tahoe LS,2011,Usado,3.58,441
Chevrolet Blazer 2LT,2019,Usado,3.58,649
Chevrolet Corvair ,1963,Usado,3.58,684
Dodge Charger R/T,2022,Nuevo,3.58,330
Dodge Caliber Mainstreet,2010,Usado,3.58,316
Dodge Durango R/T,2021,Usado,3.58,17
Dodge Durango Citadel,2016,Usado,3.58,14
Ford Expedition Limited,2023,Nuevo,3.58,24
Ford Bronco ,2023,Nuevo,3.58,710
Ford F-150 Raptor,2022,Nuevo,3.58,365
Hyundai Santa Fe SE 2.4,2019,Usado,3.58,202
INFINITI QX50 SPORT,2023,Nuevo,3.58,500
INFINITI Q50 3.0t LUXE,2020,Usado,3.58,114
Lexus NX 450h+ Luxury,2023,Nuevo,3.58,197
Mercedes-Benz GLA 250 Base 4MATIC,2023,Nuevo,3.58,250
Porsche 718 Cayman S,2018,Usado,3.58,38
Porsche Panamera Sport Turismo 4S,2018,Porsche Certified,3.58,388
Porsche Taycan Cross Turismo 4,2021,Porsche Certified,3.58,507
Porsche 356 ,1959,Usado,3.58,144
Porsche Cayenne E-Hybrid S,2018,Usado,3.58,113
Tesla Model Y Performance,2022,Usado,3.58,573
Tesla Model 3 Long Range,2019,Usado,3.58,247
Tesla Model 3 Standard Range,2020,Usado,3.58,292
Acura RDX A-Spec Advance,2023,Nuevo,3.57,591
Acura TL Type S,2008,Usado,3.57,280
BMW i7 xDrive60,2023,Nuevo,3.57,114
BMW 840 Gran Coupe i xDrive,2020,BMW Certified,3.57,373
BMW M850 i xDrive,2023,Nuevo,3.57,464
BMW 228 i,2015,Usado,3.57,159
Dodge Charger SRT Hellcat Widebody,2022,Nuevo,3.57,212
Dodge Challenger R/T,2022,Nuevo,3.57,626
Dodge Challenger R/T Scat Pack,2022,Nuevo,3.57,772
Dodge Charger SXT,2021,Usado,3.57,262
Dodge Durango SRT Hellcat,2021,Usado,3.57,682
Hyundai Santa Fe HEV Limited,2023,Nuevo,3.57,476
Hyundai Santa Fe SEL,2023,Nuevo,3.57,716
Lexus GX 460 Base,2015,Usado,3.57,53
Lexus LS 500h Base,2022,Nuevo,3.57,133
Lexus LC 500 Base,2021,Usado,3.57,622
Lexus IS 350 F Sport,2021,Usado,3.57,568
Lexus LS 460 L,2010,Usado,3.57,559
Mercedes-Benz GLE 450 AWD 4MATIC,2022,Nuevo,3.57,256
Mercedes-Benz AMG GLC 43 GLC 43 AMG 4MATIC,2023,Nuevo,3.57,555
Tesla Model Y Performance,2022,Usado,3.57,645
Tesla Model X Performance,2020,Usado,3.57,354
Chevrolet Suburban LS,2022,Nuevo,3.56,71
Dodge Challenger SXT,2023,Nuevo,3.56,357
Dodge Durango GT,2020,Usado,3.56,221
Ford F-150 Platinum,2022,Nuevo,3.56,582
INFINITI QX80 PREMIUM SELECT,2023,Nuevo,3.56,61
Lexus IS 350 Base,2016,Usado,3.56,734
Lexus RX 350 Base,2016,Usado,3.56,371
Porsche 911 Carrera 4S,2017,Porsche Certified,3.56,344
Porsche Panamera Base,2018,Usado,3.56,155
Tesla Model X 75D,2018,Usado,3.56,122
Acura CL 3,1998,Usado,3.55,697
Acura RDX Advance Package,2020,Usado,3.55,184
Acura TL 3.2,2008,Usado,3.55,499
BMW 540 i xDrive,2023,Nuevo,3.55,747
BMW 328 i xDrive,2014,Usado,3.55,244
Chevrolet Silverado 2500 LT,2023,Nuevo,3.55,230
Dodge Durango GT,2022,Nuevo,3.55,601
Dodge Ram 2500 SLT,2007,Usado,3.55,119
Dodge Ram 1500 SLT,2011,Usado,3.55,366
Ford Explorer Limited,2022,Nuevo,3.55,167
Ford Bronco Base,2023,Nuevo,3.55,788
INFINITI G35 Base,2006,Usado,3.55,245
INFINITI Q50 3.0T Signature Edition,2017,Usado,3.55,670
INFINITI QX55 LUXE,2023,Nuevo,3.55,331
Lexus IS 500 F SPORT Performance,2023,Nuevo,3.55,94
Lexus ES 350 ES 350,2023,Nuevo,3.55,102
Mercedes-Benz Sprinter 3500XD High Roof,2022,Nuevo,3.55,390
Mercedes-Benz Maybach S 580 4MATIC,2023,Nuevo,3.55,503
Porsche Panamera 4S,2011,Usado,3.55,117
Porsche Cayenne Diesel,2016,Usado,3.55,346
Tesla Model S Performance,2014,Usado,3.55,129
Acura Integra w/A-Spec Tech Package,2023,Nuevo,3.54,223
Acura MDX A-Spec,2023,Nuevo,3.54,151
BMW X7 xDrive40i,2023,Nuevo,3.54,297
Dodge Durango R/T,2022,Nuevo,3.54,198
Ford F-250 XLT,2022,Nuevo,3.54,489
Hyundai Kona EV SE,2023,Nuevo,3.54,141
Hyundai Venue SEL,2023,Nuevo,3.54,314
Lexus CT 200h Premium,2011,Usado,3.54,475
Lexus ES 250 Base,2021,Usado,3.54,728
Mercedes-Benz Sprinter 2500 144 WB Standard Roof Crew,2023,Nuevo,3.54,568
Porsche Panamera 4,2015,Usado,3.54,544
Porsche Macan S AWD,2019,Usado,3.54,326
Tesla Model Y Long Range,2021,Usado,3.54,644
Tesla Model Y Long Range,2021,Usado,3.54,272
Acura RDX Technology Package,2017,Usado,3.53,709
Acura TLX V6,2018,Usado,3.53,248
Acura RDX A-Spec,2023,Nuevo,3.53,696
BMW M340 i,2020,Usado,3.53,268
BMW 840 i,2020,Usado,3.53,655
BMW M440 i xDrive,2023,Nuevo,3.53,755
BMW X6 xDrive35i,2017,Usado,3.53,700
Hyundai Palisade SEL,2022,Usado,3.53,313
Hyundai Santa Cruz 2.5T SEL Premium,2023,Nuevo,3.53,22
INFINITI QX55 ESSENTIAL,2023,Nuevo,3.53,355
Lexus NX 300 300,2020,Usado,3.53,732
Mercedes-Benz AMG GLE 63 S,2023,Nuevo,3.53,543
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.53,398
Mercedes-Benz E-Class E 350,2022,Nuevo,3.53,797
Tesla Model 3 Standard Range,2019,Usado,3.53,740
Acura ILX 2.4L,2016,Usado,3.52,13
Chevrolet Silverado 1500 RST,2022,Nuevo,3.52,119
Chevrolet Silverado 1500 LT,2022,Nuevo,3.52,422
Ford Bronco Badlands,2022,Nuevo,3.52,591
Ford F-150 Lightning XLT,2023,Nuevo,3.52,713
Hyundai Santa Cruz 2.5L SEL,2022,Usado,3.52,661
INFINITI QX30 Luxury,2018,Usado,3.52,664
INFINITI Q50 Sport,2015,Usado,3.52,518
INFINITI QX50 ESSENTIAL,2021,INFINITI Certified,3.52,696
Lexus RX 350 Base,2022,Nuevo,3.52,407
Lexus NX 350h Premium,2023,Nuevo,3.52,743
Lexus RX 350 350,2019,Usado,3.52,112
Mercedes-Benz EQB 350 350,2023,Nuevo,3.52,567
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.52,541
Porsche 718 Boxster S,2018,Usado,3.52,106
Tesla Model Y Long Range,2022,Usado,3.52,99
Tesla Model 3 Standard Range Plus,2021,Usado,3.52,68
Acura MDX 3.5L,2016,Usado,3.51,373
Acura MDX 3.5L,2020,Nuevo,3.51,631
BMW X3 M ,2020,Usado,3.51,54
BMW M6 Base,2015,Usado,3.51,622
BMW iX xDrive50,2022,Nuevo,3.51,650
BMW M850 i xDrive,2019,Usado,3.51,280
Chevrolet Silverado 1500 RST,2023,Nuevo,3.51,670
Chevrolet Suburban Premier,2023,Nuevo,3.51,686
Chevrolet Silverado 1500 Custom,2022,Nuevo,3.51,581
Chevrolet Colorado Z71,2022,Nuevo,3.51,605
Chevrolet Camaro 3LT,2023,Nuevo,3.51,744
Dodge Charger Scat Pack,2022,Nuevo,3.51,95
Dodge Challenger R/T,2013,Usado,3.51,587
Hyundai Sonata Limited,2019,Usado,3.51,57
Hyundai IONIQ Plug-In Hybrid SEL,2020,Usado,3.51,133
INFINITI QX60 Base,2018,Usado,3.51,417
INFINITI QX50 Luxe,2023,Nuevo,3.51,525
INFINITI QX60 Luxe,2023,Nuevo,3.51,138
Mercedes-Benz E-Class E 350,2022,Nuevo,3.51,222
Porsche 911 Targa 4 GTS,2019,Porsche Certified,3.51,479
Porsche 911 GT3 RS,2011,Usado,3.51,48
Tesla Model Y Long Range,2021,Usado,3.51,180
Acura TLX A-Spec,2023,Nuevo,3.5,688
Acura TLX V6,2019,Usado,3.5,765
Acura RDX A-Spec,2023,Nuevo,3.5,118
Acura MDX A-Spec,2023,Nuevo,3.5,194
BMW iX xDrive50,2022,Usado,3.5,78
Chevrolet Blazer Premier,2023,Nuevo,3.5,607
Chevrolet Traverse LT Leather,2023,Nuevo,3.5,510
Chevrolet Silverado 3500 LTZ,2018,Usado,3.5,607
Chevrolet Traverse LS,2019,Usado,3.5,598
Dodge Charger Police,2020,Usado,3.5,644
Ford F-150 XLT,2023,Nuevo,3.5,740
Ford F-250 XLT,2022,Nuevo,3.5,125
Hyundai Sonata SEL Plus,2022,Usado,3.5,137
INFINITI Q50 3.0t Red Sport 400,2019,INFINITI Certified,3.5,49
Lexus ES 350 F Sport,2023,Usado,3.5,502
Lexus ES 350 F Sport,2019,Usado,3.5,647
Mercedes-Benz GLE 450 AWD 4MATIC,2023,Nuevo,3.5,48
Mercedes-Benz S-Class S 500 4MATIC,2023,Nuevo,3.5,784
Tesla Model S 100D,2018,Usado,3.5,519
Tesla Model S P100D,2017,Usado,3.5,271
Acura RDX A-Spec Advance,2023,Nuevo,3.49,385
Acura RDX Base,2015,Usado,3.49,423
BMW X6 xDrive40i,2023,Nuevo,3.49,711
Chevrolet Equinox RS,2023,Nuevo,3.49,13
Chevrolet Camaro LT1,2023,Nuevo,3.49,654
Ford F-150 Lariat,2022,Nuevo,3.49,463
Hyundai Elantra HEV Limited,2023,Nuevo,3.49,669
Hyundai Santa Fe Limited 2.0T,2019,Usado,3.49,580
INFINITI Q50 2.0t PURE,2018,Usado,3.49,638
INFINITI Q50 3.0t Signature Edition,2021,Usado,3.49,556
Mercedes-Benz S-Class S 580 4MATIC,2023,Nuevo,3.49,541
Mercedes-Benz Sprinter 2500 Standard Roof,2022,Nuevo,3.49,540
Tesla Model X Long Range,2020,Usado,3.49,610
Acura ILX Premium Package,2021,Acura Certified,3.48,534
Acura TLX A-Spec,2020,Acura Certified,3.48,700
Acura MDX 3.5L w/Technology & Entertainment Pkgs,2019,Usado,3.48,97
Acura MDX 3.5L w/Technology Package,2020,Usado,3.48,208
BMW X5 xDrive40i,2023,Nuevo,3.48,729
BMW M3 Base,2017,Usado,3.48,464
Chevrolet Malibu LT,2023,Nuevo,3.48,16
Chevrolet Tahoe Special Service,2016,Usado,3.48,424
Dodge Durango R/T,2022,Nuevo,3.48,92
Dodge Durango Limited,2016,Usado,3.48,154
Dodge Grand Caravan GT,2019,Usado,3.48,772
INFINITI QX50 Luxe,2021,Usado,3.48,97
INFINITI QX50 Luxe,2019,Usado,3.48,514
INFINITI QX50 Luxe,2023,Nuevo,3.48,15
Lexus IS 350 F Sport,2023,Nuevo,3.48,126
Acura MDX 3.5L,2019,Usado,3.47,238
